#Supplemental Data. Wilkins et al. Plant Cell (2016) 10.1105/tpc.16.00158.,,,,,,,,
#Supplemental Data Set 1: Differentially expressed genes,,,,,,,,
,,,,,,,,
gene,HEAT_UP,HEAT_DOWN,RECOV_HEAT_UP,RECOV_HEAT_DOWN,DROUGHT_UP,DROUGHT_DOWN,RECOV_DROUGHT_UP,RECOV_DROUGHT_DOWN
LOC_Os01g33000,0,0,0,0,1,0,0,0
LOC_Os01g34050,0,0,0,0,0,0,0,1
LOC_Os01g34060,0,0,0,0,0,1,0,0
LOC_Os01g34080,10,0,0,0,0,0,0,0
LOC_Os01g34620,3,0,0,0,0,0,0,0
LOC_Os01g34860,0,0,0,0,1,0,0,0
LOC_Os01g36630,4,0,0,0,0,0,0,0
LOC_Os01g36790,0,0,0,0,2,0,0,0
LOC_Os01g37000,0,1,0,0,0,1,0,0
LOC_Os01g37200,0,0,0,0,1,0,0,0
LOC_Os01g37460,0,3,0,0,0,0,0,0
LOC_Os01g37470,0,0,0,3,0,0,0,0
LOC_Os01g37750,0,0,0,0,3,0,0,0
LOC_Os01g37810,0,0,0,0,1,0,0,0
LOC_Os01g37832,2,0,0,0,7,0,1,0
LOC_Os01g39020,0,0,0,0,2,0,1,0
LOC_Os01g39136,1,0,0,0,0,0,0,0
LOC_Os01g39860,0,0,0,0,1,0,0,0
LOC_Os01g40094,0,0,0,0,15,0,4,0
LOC_Os01g40190,0,0,0,0,4,0,0,0
LOC_Os01g40280,17,0,0,0,3,0,0,0
LOC_Os01g41120,0,0,0,0,1,0,0,0
LOC_Os01g41430,0,0,0,0,2,0,0,0
LOC_Os01g41720,0,0,0,0,7,0,0,0
LOC_Os01g41890,0,0,0,0,3,0,0,0
LOC_Os01g42140,0,0,0,0,1,0,0,0
LOC_Os01g42190,3,0,0,0,0,0,0,0
LOC_Os01g42370,0,0,1,0,0,0,0,0
LOC_Os01g42380,0,0,0,0,1,0,0,0
LOC_Os01g42410,1,0,0,0,2,0,0,0
LOC_Os01g42860,0,0,0,0,3,0,0,0
LOC_Os01g43480,0,0,0,0,1,0,0,0
LOC_Os01g43540,11,0,0,0,0,0,0,0
LOC_Os01g43700,0,1,0,0,0,0,0,0
LOC_Os01g44130,0,1,0,0,0,0,0,0
LOC_Os01g44390,0,0,0,0,0,0,0,1
LOC_Os01g45110,0,0,0,0,1,0,0,0
LOC_Os01g45659,0,0,0,0,5,0,1,0
LOC_Os01g45990,0,0,0,0,9,0,4,0
LOC_Os01g46760,0,0,0,0,10,0,3,0
LOC_Os01g46970,0,0,0,0,14,0,3,0
LOC_Os01g47400,0,0,0,0,1,0,0,0
LOC_Os01g47760,0,0,0,0,1,0,0,0
LOC_Os01g48000,0,0,0,0,2,0,0,0
LOC_Os01g48250,3,0,0,0,0,0,0,0
LOC_Os01g48320,0,0,0,0,1,0,0,0
LOC_Os01g48850,1,0,0,0,0,0,0,0
LOC_Os01g48960,0,0,0,0,4,0,2,0
LOC_Os01g49120,0,0,0,0,0,1,0,2
LOC_Os01g49280,0,0,0,0,2,0,0,0
LOC_Os01g49820,0,0,0,0,1,0,0,0
LOC_Os01g50100,0,0,0,0,2,0,2,0
LOC_Os01g50350,0,0,0,0,2,0,0,0
LOC_Os01g50370,1,0,0,0,7,0,0,0
LOC_Os01g50400,0,0,0,0,12,0,2,0
LOC_Os01g50410,0,0,0,0,1,0,1,0
LOC_Os01g50616,0,0,0,0,12,0,1,0
LOC_Os01g50700,1,0,0,0,4,0,0,0
LOC_Os01g50910,0,0,0,0,12,0,5,0
LOC_Os01g50940,0,0,0,0,9,0,4,0
LOC_Os01g51030,0,0,0,0,1,0,0,0
LOC_Os01g51140,0,0,0,0,2,0,1,0
LOC_Os01g51210,0,0,0,0,0,0,1,0
LOC_Os01g51250,1,0,0,0,0,0,0,0
LOC_Os01g51420,0,0,0,0,4,0,1,0
LOC_Os01g51430,0,0,0,0,2,0,1,0
LOC_Os01g51540,0,0,0,0,4,0,0,0
LOC_Os01g51870,0,0,0,0,3,0,0,0
LOC_Os01g51890,0,0,0,0,2,0,0,0
LOC_Os01g51920,0,0,0,0,10,0,2,0
LOC_Os01g52110,7,0,0,0,0,0,0,0
LOC_Os01g52130,0,0,0,0,7,0,1,0
LOC_Os01g52140,14,0,0,0,0,0,0,0
LOC_Os01g52630,0,0,0,0,1,0,0,0
LOC_Os01g52690,0,0,0,0,1,0,0,0
LOC_Os01g52730,0,0,0,0,2,0,0,0
LOC_Os01g52980,0,0,0,0,1,0,0,0
LOC_Os01g53790,0,0,0,0,1,0,0,0
LOC_Os01g53880,0,0,0,0,1,0,0,0
LOC_Os01g53920,0,0,0,0,1,0,0,0
LOC_Os01g53990,0,0,0,0,1,0,0,0
LOC_Os01g54030,1,0,0,0,0,0,0,0
LOC_Os01g54300,2,0,0,0,0,0,0,0
LOC_Os01g54340,0,0,0,0,1,0,0,0
LOC_Os01g54700,0,0,0,0,1,0,0,0
LOC_Os01g55100,0,0,0,0,9,0,2,0
LOC_Os01g55160,0,0,0,0,3,0,1,0
LOC_Os01g55240,0,0,0,0,9,0,7,0
LOC_Os01g55260,6,0,0,0,0,0,0,0
LOC_Os01g55270,34,0,7,0,0,0,0,0
LOC_Os01g55280,0,0,0,0,2,0,0,0
LOC_Os01g55340,0,0,0,0,2,0,0,0
LOC_Os01g55430,0,0,0,0,1,0,0,0
LOC_Os01g55510,0,0,0,0,1,0,0,0
LOC_Os01g55560,0,0,0,0,1,0,0,0
LOC_Os01g55940,0,0,0,0,1,0,0,0
LOC_Os01g56180,6,0,0,0,3,0,1,0
LOC_Os01g56300,0,0,0,0,1,0,1,0
